iter	Passed	Remaining
0	0	85
1	1	84
2	2	79
3	2	70
4	3	70
5	4	70
6	5	69
7	5	68
8	6	68
9	7	66
10	8	65
11	8	64
12	9	62
13	10	61
14	10	62
15	11	61
16	12	60
17	13	60
18	13	58
19	14	58
20	15	57
21	15	56
22	16	55
23	17	54
24	17	53
25	18	53
26	19	52
27	20	51
28	20	50
29	21	49
30	22	49
31	22	48
32	23	47
33	24	46
34	24	46
35	25	45
36	26	45
37	27	44
38	28	44
39	29	43
40	29	42
41	30	41
42	30	40
43	31	39
44	32	39
45	32	38
46	33	37
47	34	36
48	34	36
49	35	35
50	36	34
51	36	34
52	37	33
53	38	32
54	38	31
55	39	31
56	40	30
57	40	29
58	41	28
59	42	28
60	43	27
61	43	26
62	44	26
63	45	25
64	45	24
65	46	24
66	47	23
67	48	22
68	48	21
69	49	21
70	50	20
71	51	19
72	51	19
73	52	18
74	53	17
75	54	17
76	55	16
77	55	15
78	56	15
79	57	14
80	58	13
81	59	12
82	59	12
83	60	11
84	61	10
85	62	10
86	62	9
87	63	8
88	64	7
89	65	7
90	65	6
91	66	5
92	67	5
93	68	4
94	68	3
95	69	2
96	70	2
97	71	1
98	71	0
99	72	0
